"year","oa_type","value","pc"
2020,"closed",3221,14.6057225774271
2020,"gold",1159,5.25552079082211
2020,"hybrid",682,3.09254976647168
2020,"green",570,2.58468235614202
2020,"bronze",424,1.92264091053371
2020,"closed",840,3.80900557747245
2020,"gold",349,1.58255112683082
2020,"hybrid",189,0.857026254931302
2020,"green",99,0.448918514487825
2020,"bronze",81,0.367296966399129
2020,"closed",551,2.49852627760395
2020,"gold",214,0.970389516165601
2020,"hybrid",204,0.925044211671881
2020,"green",93,0.421711331791593
2020,"bronze",73,0.331020722804154
2020,"closed",1126,5.10588128599283
2020,"gold",514,2.33074865097719
2020,"hybrid",259,1.17444338638734
2020,"green",153,0.693783158753911
2020,"bronze",130,0.589488958418356
2020,"closed",1267,5.74525007935428
2020,"gold",1005,4.55720310161883
2020,"hybrid",311,1.41023896975468
2020,"green",132,0.5985580193171
2020,"bronze",116,0.526005532127148
2020,"closed",726,3.29206910624405
2020,"gold",308,1.39663537840657
2020,"hybrid",291,1.31954836076724
2020,"green",143,0.648437854260191
2020,"bronze",128,0.580419897519612
2020,"closed",244,1.10642542964676
2020,"gold",119,0.539609123475264
2020,"hybrid",36,0.163243096177391
2020,"green",30,0.136035913481159
2020,"bronze",27,0.122432322133043
2020,"closed",1861,8.43876116628123
2020,"gold",909,4.12188817847912
2020,"hybrid",459,2.08134947626173
